image_filename,image_timestamp,match_count
152338.JPG,2019-07-24 15:23:38,5500
152342.JPG,2019-07-24 15:23:42,5496
152348.JPG,2019-07-24 15:23:48,5490
152418.JPG,2019-07-24 15:24:18,5459
152422.JPG,2019-07-24 15:24:22,5457
152510.JPG,2019-07-24 15:25:10,5407
152512.JPG,2019-07-24 15:25:12,5407
152604.JPG,2019-07-24 15:26:04,5355
152838.JPG,2019-07-24 15:28:38,5202
162506.JPG,2019-07-24 16:25:06,4078
162524.JPG,2019-07-24 16:25:24,4060
162636.JPG,2019-07-24 16:26:36,3990
162710.JPG,2019-07-24 16:27:10,3955
162734.JPG,2019-07-24 16:27:34,3930
162802.JPG,2019-07-24 16:28:02,3902
162808.JPG,2019-07-24 16:28:08,3896
170224.JPG,2019-07-24 17:02:24,3595
170228.JPG,2019-07-24 17:02:28,3596
170238.JPG,2019-07-24 17:02:38,3596
170256.JPG,2019-07-24 17:02:56,3595
170300.JPG,2019-07-24 17:03:00,3596
170316.JPG,2019-07-24 17:03:16,3595
170400.JPG,2019-07-24 17:04:00,3595
170416.JPG,2019-07-24 17:04:16,3594
170434.JPG,2019-07-24 17:04:34,3596
170504.JPG,2019-07-24 17:05:04,3595
170510.JPG,2019-07-24 17:05:10,3595
170520.JPG,2019-07-24 17:05:20,3596
170642.JPG,2019-07-24 17:06:42,3596
173514.JPG,2019-07-24 17:35:14,3595
173534.JPG,2019-07-24 17:35:34,3595
173554.JPG,2019-07-24 17:35:54,3596
173620.JPG,2019-07-24 17:36:20,3597
173626.JPG,2019-07-24 17:36:26,3597
173652.JPG,2019-07-24 17:36:52,3596
173710.JPG,2019-07-24 17:37:10,3597
