image_filename,image_timestamp,match_count
2019-10-19 104440.JPG,2019-10-19 10:44:40,10077
2019-10-19 104445.JPG,2019-10-19 10:44:45,10080
2019-10-19 104511.JPG,2019-10-19 10:45:11,10085
2019-10-19 104534.JPG,2019-10-19 10:45:34,10094
2019-10-19 104604.JPG,2019-10-19 10:46:04,10105
2019-10-19 111233.JPG,2019-10-19 11:12:33,10253
2019-10-19 111305.JPG,2019-10-19 11:13:05,10261
2019-10-19 111314.JPG,2019-10-19 11:13:14,10262
2019-10-19 111323.JPG,2019-10-19 11:13:23,10262
2019-10-19 111424.JPG,2019-10-19 11:14:24,10277
2019-10-19 111435.JPG,2019-10-19 11:14:35,10281
2019-10-19 115923.jpg,2019-10-19 11:59:23,10015
2019-10-19 115930.jpg,2019-10-19 11:59:30,10021
2019-10-19 115933.jpg,2019-10-19 11:59:33,10023
2019-10-19 115942.JPG,2019-10-19 11:59:42,10033
2019-10-19 122026.jpg,2019-10-19 12:20:26,10210
2019-10-19 122029.jpg,2019-10-19 12:20:29,10212
2019-10-19 122032.jpg,2019-10-19 12:20:32,10213
2019-10-19 124443.jpg,2019-10-19 12:44:43,9858
2019-10-19 124446.jpg,2019-10-19 12:44:46,9855
2019-10-19 124448.jpg,2019-10-19 12:44:48,9854
2019-10-19 124454.jpg,2019-10-19 12:44:54,9849
2019-10-19 130723.jpg,2019-10-19 13:07:23,10142
2019-10-19 130726.jpg,2019-10-19 13:07:26,10146
2019-10-19 130729.jpg,2019-10-19 13:07:29,10148
2019-10-19 130733.jpg,2019-10-19 13:07:33,10152
2019-10-19 132410.jpg,2019-10-19 13:24:10,10215
2019-10-19 132413.jpg,2019-10-19 13:24:13,10210
2019-10-19 132416.jpg,2019-10-19 13:24:16,10208
2019-10-19 134314.jpg,2019-10-19 13:43:14,6541
2019-10-19 134317.jpg,2019-10-19 13:43:17,6531
2019-10-19 134320.jpg,2019-10-19 13:43:20,6519
2019-10-19 134327.jpg,2019-10-19 13:43:27,6495
2019-10-19 140050.jpg,2019-10-19 14:00:50,4557
2019-10-19 140054.jpg,2019-10-19 14:00:54,4541
2019-10-19 140057.jpg,2019-10-19 14:00:57,4529
2019-10-19 140059.jpg,2019-10-19 14:00:59,4521
